origin_country,altitude_band,total_flights,min_altitude,max_altitude,avg_altitude
Croatia,low,21,53.34,891.54,453.93
Cuba,cruise,72,1455.42,2225.04,2057.08
Czech Republic,cruise,384,1043.94,7940.04,4817.03
Czech Republic,high,1107,8100.06,12496.80,10643.53
Czech Republic,low,306,274.32,960.12,487.08
Denmark,cruise,126,1005.84,7696.20,2826.29
Denmark,high,1149,8206.74,12504.42,11334.70
Denmark,low,48,205.74,982.98,378.14
Dominican Republic,cruise,45,1112.52,7650.48,4249.93
Dominican Republic,high,183,10363.20,11887.20,11587.40
Dominican Republic,low,6,365.76,731.52,548.64
Ecuador,high,111,10058.40,10683.24,10514.36
Egypt,cruise,651,1120.14,7993.38,4808.75
Egypt,high,5205,8023.86,12496.80,10705.77
Egypt,low,63,60.96,998.22,504.73
Estonia,cruise,81,1135.38,7901.94,4161.65
Estonia,high,207,8191.50,11597.64,11002.84
Estonia,low,6,601.98,701.04,651.51
Ethiopia,cruise,504,1219.20,7894.32,4807.81
Ethiopia,high,3597,8039.10,12496.80,11347.46
Ethiopia,low,48,45.72,975.36,296.70
Fiji,cruise,99,1013.46,7574.28,3438.93
Fiji,high,255,8016.24,11582.40,10935.33
Fiji,low,24,22.86,822.96,455.30
Finland,cruise,369,1043.94,7978.14,4074.72
Finland,high,1851,8084.82,12199.62,11468.80
Finland,low,66,22.86,967.74,534.44
France,cruise,2643,1005.84,7993.38,3583.41
France,high,9273,8039.10,13106.40,10869.57
France,low,2820,7.62,998.22,411.98
Georgia,high,273,10965.18,11894.82,11797.27
Germany,cruise,2568,1005.84,7993.38,4131.78
Germany,high,10572,8001.00,13106.40,11050.75
Germany,low,1653,7.62,998.22,499.12
Greece,cruise,381,1013.46,7993.38,4227.84
Greece,high,1116,8023.86,11902.44,10771.10
Greece,low,87,15.24,998.22,423.30
Guatemala,cruise,633,1356.36,5181.60,2478.74
Guatemala,high,3,11795.76,11795.76,11795.76
Hungary,cruise,522,1005.84,7863.84,4087.30
Hungary,high,1245,8001.00,11597.64,10621.49
Hungary,low,207,45.72,967.74,392.71
Iceland,cruise,978,1013.46,7993.38,4332.30
Iceland,high,2466,8001.00,19050.00,10654.39
Iceland,low,294,7.62,990.60,375.09
India,cruise,4938,1005.84,7993.38,4208.07
India,high,11454,8008.62,13716.00,10874.08
India,low,978,30.48,998.22,543.43
Indonesia,cruise,2622,1013.46,7993.38,4905.61
Indonesia,high,3507,8008.62,11887.20,10313.44
Indonesia,low,432,83.82,998.22,473.08
Iraq,cruise,30,1996.44,3139.44,2581.66
Ireland,cruise,5502,1005.84,7985.76,4065.28
Ireland,high,19650,8001.00,29016.96,10978.04
Ireland,low,1956,7.62,990.60,407.69
Islamic Republic of Iran,cruise,30,4465.32,7810.50,6295.64
Islamic Republic of Iran,high,330,8069.58,11308.08,11149.79
Israel,cruise,519,1005.84,7993.38,4246.59
Israel,high,6693,8046.72,12192.00,10671.60
Israel,low,120,15.24,937.26,364.24
Italy,cruise,489,1059.18,7673.34,4642.54
Italy,high,507,8572.50,11887.20,11353.62
Italy,low,375,53.34,891.54,538.28
Japan,cruise,19056,1005.84,7993.38,4746.54
Japan,high,22383,8001.00,12496.80,10458.67
Japan,low,2835,7.62,998.22,450.53
Jordan,cruise,501,1021.08,7970.52,4000.68
Jordan,high,1149,8145.78,12496.80,10882.85
Jordan,low,30,754.38,906.78,769.62
Kazakhstan,high,669,9441.18,12199.62,10743.28
Kenya,cruise,162,1584.96,7444.74,3024.29
Kenya,high,231,8244.84,11582.40,10774.38
Kingdom of the Netherlands,cruise,1143,1013.46,7993.38,3959.98
Kingdom of the Netherlands,high,5808,8039.10,13716.00,10996.87
Kingdom of the Netherlands,low,279,22.86,982.98,443.93
Kuwait,cruise,306,1051.56,7955.28,4222.23
Kuwait,high,963,8016.24,11582.40,10421.79
Kuwait,low,69,45.72,906.78,371.06
Latvia,high,294,11582.40,11887.20,11839.23
Lebanon,high,27,11216.64,11277.60,11269.98
Libyan Arab Jamahiriya,cruise,63,1089.66,2796.54,1498.96
Libyan Arab Jamahiriya,high,96,8839.20,10980.42,10396.30
Lithuania,cruise,99,1120.14,7825.74,4751.19
Lithuania,high,411,8084.82,11277.60,10443.79
Lithuania,low,18,83.82,899.16,467.36
Luxembourg,cruise,201,1013.46,7970.52,5049.56
Luxembourg,high,1707,8168.64,13716.00,11023.68
Luxembourg,low,24,22.86,952.50,515.30
Malaysia,cruise,5433,1013.46,7985.76,4423.80
Malaysia,high,3405,8001.00,12489.18,10331.28
Malaysia,low,1053,30.48,998.22,642.69
Maldives,high,27,11887.20,11887.20,11887.20
Malta,cruise,2901,1005.84,7955.28,3875.72
Malta,high,6732,8008.62,22585.68,11311.51
Malta,low,1299,15.24,998.22,444.79
Mauritania,high,27,10668.00,10668.00,10668.00
Mexico,cruise,8469,1005.84,7993.38,4652.83
Mexico,high,15867,8001.00,13716.00,10698.48
Mexico,low,888,15.24,998.22,532.96
Morocco,cruise,324,1021.08,7901.94,4277.01
Morocco,high,1347,8092.44,12496.80,11115.14
Morocco,low,36,22.86,982.98,464.19
Myanmar,cruise,147,1211.58,7642.86,3702.08
Myanmar,high,60,8199.12,10972.80,10172.70
Myanmar,low,36,68.58,914.40,227.33
Nepal,cruise,90,1104.90,7909.56,4701.54
Nepal,high,324,8039.10,11894.82,10840.65
Nepal,low,12,647.70,701.04,687.71
New Zealand,cruise,7200,1005.84,7940.04,3728.75
New Zealand,high,1209,8008.62,12192.00,10551.77
New Zealand,low,11019,7.62,998.22,358.83
Norway,cruise,297,1104.90,7825.74,3443.93
Norway,high,1098,8023.86,12192.00,11099.59
Norway,low,201,68.58,998.22,381.57
Oman,cruise,315,1028.70,7818.12,4018.21
Oman,high,954,8023.86,12504.42,11402.92
Oman,low,54,68.58,922.02,394.97
Pakistan,high,279,8641.08,11597.64,10712.00
Panama,cruise,387,1021.08,7985.76,4145.81
Panama,high,5496,8008.62,11887.20,10653.63
Panama,low,90,83.82,929.64,605.28
Papua New Guinea,cruise,57,1158.24,4411.98,2357.79
Papua New Guinea,low,18,15.24,739.14,345.44
Paraguay,cruise,210,1828.80,5791.20,3357.37
Philippines,cruise,3693,1021.08,7993.38,4585.85
Philippines,high,3168,8001.00,11894.82,10204.26
Philippines,low,693,30.48,998.22,425.04
Poland,cruise,1179,1028.70,7993.38,4737.37
Poland,high,3474,8031.48,12192.00,11237.00
Poland,low,366,38.10,975.36,435.84
Portugal,cruise,1176,1013.46,7970.52,4625.05
Portugal,high,3099,8008.62,11887.20,10339.81
Portugal,low,324,7.62,967.74,440.83
Qatar,cruise,1323,1013.46,7970.52,4518.94
Qatar,high,6585,8008.62,12496.80,10975.59
Qatar,low,201,83.82,998.22,521.34
Republic of Korea,cruise,8160,1005.84,7993.38,4542.89
Republic of Korea,high,9105,8008.62,12192.00,10459.48
Republic of Korea,low,1365,7.62,998.22,432.97
Republic of Moldova,cruise,168,1325.88,7894.32,3958.05
Republic of Moldova,high,537,8084.82,11887.20,11226.26
Republic of Moldova,low,3,449.58,449.58,449.58
Romania,cruise,186,1043.94,7688.58,3408.11
Romania,high,1041,8016.24,11887.20,11177.46
Romania,low,42,22.86,960.12,601.44
Russian Federation,cruise,558,1005.84,7985.76,4298.66
Russian Federation,high,4173,8008.62,11894.82,10641.50
Russian Federation,low,69,251.46,861.06,526.11
Rwanda,high,78,11887.20,12496.80,12285.20
San Marino,cruise,3,1196.34,1196.34,1196.34
San Marino,high,819,9441.18,13106.40,11366.28
San Marino,low,6,487.68,868.68,678.18
Saudi Arabia,cruise,300,1082.04,7993.38,4357.88
Saudi Arabia,high,2208,8122.92,11887.20,10682.46
Saudi Arabia,low,24,167.64,868.68,513.40
Serbia,cruise,54,1188.72,7719.06,1901.19
Serbia,high,279,8770.62,10660.38,10365.82
Singapore,cruise,1845,1021.08,7985.76,4515.59
Singapore,high,4614,8008.62,12504.42,10775.28
Singapore,low,543,30.48,998.22,585.90
Slovakia,cruise,3,7810.50,7810.50,7810.50
Slovakia,high,585,8168.64,10980.42,10941.03
South Africa,high,39,10058.40,11277.60,10903.63
South Africa,low,15,38.10,487.68,294.13
Spain,cruise,2964,1005.84,7993.38,4465.60
Spain,high,8052,8001.00,20360.64,10715.49
Spain,low,885,7.62,990.60,510.20
Sri Lanka,cruise,201,1173.48,7871.46,4708.71
Sri Lanka,high,909,8001.00,11887.20,10686.13
Sri Lanka,low,33,99.06,365.76,300.64
Sweden,cruise,360,1021.08,7825.74,3506.60
Sweden,high,2061,8016.24,13114.02,11351.94
Sweden,low,396,30.48,967.74,454.31
Switzerland,cruise,582,1097.28,7955.28,4212.76
Switzerland,high,1956,8001.00,12496.80,10877.19
Switzerland,low,159,53.34,982.98,442.54
Syrian Arab Republic,high,189,10660.38,11285.22,10745.17
Taiwan,cruise,4425,1021.08,7993.38,4233.09
Taiwan,high,6486,8008.62,12504.42,10677.25
Taiwan,low,702,38.10,982.98,502.46
Thailand,cruise,1734,1005.84,7993.38,4006.78
Thailand,high,2715,8001.00,12496.80,10911.26
Thailand,low,699,15.24,998.22,435.32
Trinidad and Tobago,cruise,48,5707.38,7985.76,6272.69
Trinidad and Tobago,high,294,8244.84,11285.22,11001.96
Tunisia,cruise,27,5181.60,5181.60,5181.60
Tunisia,high,111,10355.58,11887.20,10587.06
Turkey,cruise,6507,1005.84,7993.38,4648.90
Turkey,high,24912,8001.00,13114.02,10945.03
Turkey,low,918,7.62,990.60,502.70
Turkmenistan,cruise,72,2735.58,7818.12,5010.47
Turkmenistan,high,153,8061.96,10058.40,9846.53
Ukraine,cruise,126,1021.08,7978.14,4190.82
Ukraine,high,1365,8008.62,10675.62,10428.46
Ukraine,low,57,7.62,853.44,470.84
United Arab Emirates,cruise,2589,1005.84,7993.38,4718.98
United Arab Emirates,high,13554,8001.00,18684.24,11179.16
United Arab Emirates,low,510,30.48,990.60,495.84
United Kingdom,cruise,9534,1005.84,7993.38,4091.78
United Kingdom,high,55296,8001.00,25146.00,11228.40
United Kingdom,low,4698,7.62,998.22,393.12
United Republic of Tanzania,high,33,9745.98,11582.40,11232.57
United States,cruise,496665,1005.84,7993.38,3522.02
United States,high,578541,8001.00,36667.44,10669.77
United States,low,332373,7.62,998.22,517.72
Uzbekistan,cruise,75,1051.56,5402.58,2751.73
Uzbekistan,high,1425,9448.80,11887.20,10871.69
Uzbekistan,low,72,68.58,975.36,286.39
Venezuela,cruise,240,1066.80,6553.20,3641.22
Venezuela,high,156,9182.10,11582.40,10906.13
Venezuela,low,6,792.48,891.54,842.01
Viet Nam,cruise,444,1043.94,7940.04,3662.29
Viet Nam,high,1035,8054.34,11894.82,10179.41
Viet Nam,low,129,53.34,944.88,353.53
Yemen,high,51,8572.50,9913.62,9536.65
